AHD,,Czech Air Handling - Czech Republic,Airhandling
AHE,,Airport Helicopter Basel AHB AG - Switzerland,Airport Helicopter
AHF,,"Aspen Helicopters, Inc. - United States of America",Aspen
AHI,,"Servicios Aereos de Chihuahua Aerochisa, S.A. de C.V. - Mexico",Aerochisa
AHJ,,"Aviones Y Helicopteros Ejecutivos, S.A. de C.V. - Mexico",Avycop
AHK,LD*,AHK Air Hong Kong Limited - Hong Kong,Air Hong Kong
AHL,,"Aerolineas Hidalgo, S.A. de C.V. - Mexico",Hidalgo
AHM,,"Atlantis Helicopters de Mexico, S.A. de C.V. - Mexico",Heli Atlantis
AHN,,"Avia Group Handling, LLC - Russian Federation",
AHS,,AHS Air International - Pakistan,
AHT,,"HTA Helicopteros, Lda - Portugal",Heliapra
AHW,S8*,Sky Capital Airlines Ltd. - Bangladesh,Sky Capital
AHX,MZ,"Amakusa Airlines Co., Ltd. - Japan",Amakusa Air
AHY,J2,Azerbaijan Airlines CJSC - Azerbaijan,Azal
AIA,8R,Regourd Aviation d/b/a Amelia - France,Amelia
AIB,,Airbus Industrie - France,Airbus Industrie
AIC,AI,Air India Limited - India,Air India
AID,,Christian Konig - Century Airbirds - Austria,Century Airbirds
AIE,3H,Air Inuit Ltd/Ltee. - Canada,Inuit
AIF,,Aim Aviation - Israel,
AIG,,Air Inter Gabon - Gabon,
AIH,KJ,"Air Zeta Co., Ltd. - Korea, Republic of",Quantum Sky
AII,,A247 - Russian Federation,Alpha Twin
AIK,,African Airlines International Limited - Kenya,African Airlines
AIM,,"Trabajos Aereos Murcianos, S.L. - Spain",Pijo
AIO,,"Chief of Staff, United States Air Force - United States of America",Air Chief
AIQ,FD,Thai AirAsia Co. Ltd. - Thailand,Thai Asia
AIS,,Air SurEste - Compañía de Aviación - Spain,Sureste
AIT,,Air Taurus LLC - Ukraine,Air Taurus
AIU,,"Air Segura, S.L. - Spain",
AIV,,Avex International - Pakistan,
AIW,,AEROHELI International GmbH & Co. KG - Germany,Airwolf
AIX,,Air Andrew Limited - Canada,Andrew
AIY,,Aircrew Check and Training Australia - Australia,Aircrew
AIZ,IZ,Arkia Israeli Airlines Ltd. - Israel,Arkia
AJB,,American Jet S.A. - Argentina,Amjet
AJD,,Astonjet Limited - Malta,Catch Me
AJE,,"Aero Jet Express, S.A. de C.V. - Mexico",Jet Express
AJG,,Atlantic Jets - Venezuela,Atlantic Jets
AJH,,Aeroaljarafe S.L. - Spain,Aljarafe
AJI,7Z*,"Ameristar Jet Charter, Inc. - United States of America",Ameristar
AJJ,,Avcon Jet Africa (Pty) Ltd. - South Africa,Avjet
AJK,4W*,Allied Air Limited - Nigeria,Bambi
AJN,,"Automotriz Baja Notre, S.A. de C.V. - Mexico",Bajante
AJO,,Av8jet Charter Limited - Malta,Aviate Jet
AJP,,Anap Business Jets Limited - Nigeria,Anapjets
AJQ,,"Aerotecnica Jet Services, Inc. - Panama",Panajet
AJR,,A-Jet Aviation Co. Ltd. - Mongolia,Jet Mongolia
AJS,,Aeroejecutivos Colombia - Aeroejecutivos Aeroservicios Ejecutivos - Colombia,Aeroejecutivos
AJT,M6,"Amerijet International, Inc. - United States of America",Amerijet
AJU,,Airjetsul - Portugal,Airjetsul
AJV,,"Advance Aviation Jet Co., Ltd. - Thailand",Lee Jet
AJX,NQ,Air Japan Company Ltd. - Japan,Air Japan
AJY,,Ajwaa Airlines - Egypt,Ajwaa Airlines
AJZ,,Anglo American South Africa Limited - South Africa,Anglo Jet
AKA,,"Air Korea Co. Ltd. - Korea, Republic of",
AKB,,Aktjubavia - Kazakhstan,Karab
AKD,,Alfa KR - Kyrgyzstan,Alfa Asia
AKE,,Air Maken - Equatorial Guinea,Air Maken
AKF,,Aero Toyota Corporation - Japan,
AKG,,84 Squadron RAF Akrotiri - United Kingdom,Grifter
AKI,,Ibk-Petra - Sudan,
AKJ,QP,SNV Aviation Pvt Ltd t/a Akasa Air - India,Akasa Air
AKK,,Aklak Air Inc. - Canada,Aklak
AKK,,Sundt Air Management - Norway,Aker
AKL,IK,Air Kiribati Limited - Kiribati,Air Kiribati
AKM,,Acme - Spain,Amce Aereo
AKN,,Alkan Air Ltd. - Canada,Alkan Air
AKP,,Askaria Air Pakistan - Pakistan,Askari Air
AKQ,,Aerospace Consortium Limited - Kenya,Moonflight
AKS,,Airworks Kenya Limited - Kenya,Akel
AKT,5T,Bradley Air Services Limited t/a First Air / Canadian North - Canada,Arctic
AKU,,Alkebulan Airlines Corporation - Zambia,Alkebulan
AKV,,Airvan Kenya Limited - Kenya,Fly Sun West
AKX,EH,"ANA Wings Co., Ltd. - Japan",Alfa Wing
AKZ,,AK Navigator LLC - Kazakhstan,Absolute
ALB,,Aero Albatros - Mexico,Albatros
ALC,,"Southern Jersey Airways, Inc. - United States of America",Acom
ALE,,Alliance Executive Jets Ltd. - Malta,Alliance Malta
ALF,,Allied Command Europe (Mobile Force) - Belgium,Aceforce
ALG,,"Avia Group Handling, LLC - Russian Federation",
ALI,,Airlift A.S. - Norway,Airlift
ALK,UL,SriLankan Airlines Limited - Sri Lanka,Srilankan
